model,tuning,scoring,rank,count
DTC,full,ACC,0.0,135
DTC,full,ACC,1.0,71
DTC,full,ACC,2.0,50
DTC,full,ACC,3.0,43
DTC,full,ACC,5.0,39
DTC,full,ACC,4.0,37
DTC,full,ACC,9.0,34
DTC,full,ACC,8.0,33
DTC,full,ACC,7.0,31
DTC,full,ACC,11.0,30
DTC,full,ACC,6.0,28
DTC,full,ACC,13.0,27
DTC,full,ACC,14.0,26
DTC,full,ACC,10.0,23
DTC,full,ACC,12.0,21
DTC,full,ACC,16.0,19
DTC,full,ACC,15.0,18
DTC,full,ACC,17.0,18
DTC,full,ACC,18.0,13
DTC,full,ACC,19.0,12
DTC,full,ACC,20.0,10
DTC,full,ACC,21.0,10
DTC,full,ACC,22.0,7
DTC,full,ACC,23.0,7
DTC,full,ACC,24.0,5
DTC,full,ACC,25.0,5
DTC,full,ACC,27.0,4
DTC,full,ACC,26.0,4
DTC,full,ACC,29.0,3
DTC,full,ACC,28.0,3
DTC,full,ACC,30.0,2
DTC,full,AUC,0.0,150
DTC,full,AUC,1.0,71
DTC,full,AUC,2.0,39
DTC,full,AUC,7.0,27
DTC,full,AUC,6.0,26
DTC,full,AUC,5.0,24
DTC,full,AUC,12.0,24
DTC,full,AUC,8.0,22
DTC,full,AUC,4.0,21
DTC,full,AUC,16.0,18
DTC,full,AUC,9.0,18
DTC,full,AUC,3.0,18
DTC,full,AUC,10.0,17
DTC,full,AUC,19.0,17
DTC,full,AUC,11.0,15
DTC,full,AUC,15.0,15
DTC,full,AUC,14.0,13
DTC,full,AUC,13.0,13
DTC,full,AUC,20.0,13
DTC,full,AUC,17.0,13
DTC,full,AUC,18.0,13
DTC,full,AUC,21.0,10
DTC,full,AUC,23.0,8
DTC,full,AUC,24.0,8
DTC,full,AUC,22.0,8
DTC,full,AUC,25.0,7
DTC,full,AUC,26.0,5
DTC,full,AUC,27.0,3
DTC,full,AUC,28.0,1
DTC,full,AUC,29.0,1
DTC,full,AUC,30.0,1
DTC,full,AUC,31.0,1
DTC,full,F1,0.0,162
DTC,full,F1,1.0,65
DTC,full,F1,2.0,37
DTC,full,F1,6.0,28
DTC,full,F1,20.0,27
DTC,full,F1,8.0,26
DTC,full,F1,14.0,26
DTC,full,F1,4.0,25
DTC,full,F1,12.0,24
DTC,full,F1,5.0,24
DTC,full,F1,3.0,23
DTC,full,F1,7.0,23
DTC,full,F1,19.0,21
DTC,full,F1,9.0,20
DTC,full,F1,11.0,20
DTC,full,F1,13.0,18
DTC,full,F1,17.0,18
DTC,full,F1,18.0,18
DTC,full,F1,10.0,18
DTC,full,F1,15.0,17
DTC,full,F1,16.0,17
DTC,full,F1,21.0,16
DTC,full,F1,22.0,14
DTC,full,F1,23.0,13
DTC,full,F1,24.0,13
DTC,full,F1,27.0,13
DTC,full,F1,26.0,12
DTC,full,F1,25.0,12
DTC,full,F1,28.0,6
DTC,full,F1,29.0,6
DTC,full,F1,30.0,4
DTC,full,F1,31.0,2
DTC,model,ACC,0.0,164
DTC,model,ACC,1.0,101
DTC,model,ACC,3.0,69
DTC,model,ACC,10.0,65
DTC,model,ACC,2.0,57
DTC,model,ACC,4.0,52
DTC,model,ACC,13.0,43
DTC,model,ACC,7.0,40
DTC,model,ACC,8.0,36
DTC,model,ACC,12.0,35
DTC,model,ACC,6.0,35
DTC,model,ACC,14.0,35
DTC,model,ACC,5.0,33
