approach,preprocessing,estimator,tuning,score,runtime
regression,full,baseline_regressor,,0,
regression,full,linear_regression,,0.089321,
regression,full,svm_regressor,,0.157757,
regression,full,knn_regressor,,0.398352,
regression,full,decision_tree_regressor,,0.523619,
regression,full,random_forest_regressor,,0.496358,
regression,full,lgbm_regressor,,0.296154,
regression,full,neural_network_regressor,,0.145982,
regression,baseline,decision_tree_regressor,,0.48,
regression,full,decision_tree_regressor,bayes,0.55,
pointwise_regression,baseline,decision_tree_regressor,,,
pointwise_regression,full,decision_tree_regressor,,,
pointwise_normalized_regression,baseline,decision_tree_regressor,,,
pointwise_normalized_regression,full,decision_tree_regressor,,,
pointwise_normalized_regression,full,decision_tree_regressor,grid,,
pointwise_normalized_regression,full,decision_tree_regressor,bayes,,
pointwise_classification,baseline,decision_tree_regressor,,,
pointwise_classification,full,decision_tree_regressor,,,
pointwise_classification,full,decision_tree_regressor,grid,,
pointwise_classification,full,decision_tree_regressor,bayes,,
pointwise_ordinal_regression,baseline,decision_tree_regressor,,,
pointwise_ordinal_regression,full,decision_tree_regressor,,,
pointwise_ordinal_regression,full,decision_tree_regressor,grid,,
pointwise_ordinal_regression,full,decision_tree_regressor,bayes,,
